,crystal_name,indirect_bandgap (eV),_cell_length_a,_cell_length_b,_cell_length_c,_cell_angle_alpha,_cell_angle_beta,_cell_angle_gamma
113,Ge4Li13O16Zn2,0.6417,10.09441267,5.87049105,4.798111009,89.09257447,88.5789507,90.51293631
114,Ge4Li14O16Zn,3.6155,10.16413192,5.879495744,4.74248017,89.73598855,90.5608513,90.25049682
115,Al22B9Ca3Li5O90Si18,1.5045,15.11747753,15.13454944,6.617676221,89.99786181,89.99244098,119.9762779
116,Ge4Li15O16Zn,0.985,10.15098607,5.870128351,4.793777982,89.4436903,90.7615385,89.15765087
117,Al12Ca6Li3,0.3631,5.681812141,5.647909312,16.91414872,77.15426148,98.59369776,119.6324092
118,Al7Ca7Li4,0.3656,5.470001567,5.453380032,16.47308423,97.52149591,82.83508396,119.8421975
119,Li5Nb5O18Zn2,1.3424,4.870102054,4.870166028,13.06401049,89.99939115,90.00033199,120.0130339
120,Li4Nb5O18Zn3,0.4116,4.905833809,4.905769579,13.11189564,89.9996324,90.00021625,120.012459
121,Fe3Li2O6,0.3796,2.74017754,2.740179565,12.8880807,90.00531519,89.99468592,120.0157988
122,Fe2Ir2Li2O6,0.3711,2.702011222,2.708789609,15.17119592,88.83564111,87.83531444,119.3181852
123,Al3Be5FeLiO36Si12,2.0457,8.49606785,8.496106618,8.559049684,89.21045467,89.21051264,117.1031104
124,Al4Be5O36Si13,0.8315,8.658104448,8.867338386,8.603023838,89.69450255,90.15627159,120.8243504
125,Al3Be5LiMgO36Si12,6.0594,8.63435432,8.834018157,8.555292259,89.8214952,90.10315423,120.7882871
126,Al4Be5LiNaO36Si12,5.5043,8.600499028,8.809583988,8.602609541,89.99999768,89.99981153,120.8263281
127,Al4Be5FeO36Si12,1.4584,8.80126646,8.616018379,8.601892056,90.02769781,89.9481939,120.7364841
128,Al2Be6Mg2O36Si12,5.9801,8.858331635,8.858320289,8.715712274,90.00002718,90.00002798,120.0167734
129,Al2Be6FeMgO36Si12,1.9791,8.864244163,8.864248509,8.760161995,90.0006056,90.00055406,120.0154553
130,Al3Be6FeNaO36Si12,1.5295,8.873178598,8.873178827,8.76655405,89.99960708,89.99960583,120.0150561
131,Li8Mn15O32,0.3699,7.564575601,7.578531627,7.576349424,90.1322448,89.90251582,89.88533379
132,Li6Mn18O32,0.3641,7.656447341,7.654921598,7.655689318,89.52656184,90.4726963,89.5257318
133,Li4Mn15O32,0.37,7.428540876,7.445014407,7.437914307,89.94405658,89.66839651,90.21701714
134,Li8Mn16O32,0.3657,7.524924309,7.600440367,7.600112784,89.66773148,90.22895244,90.23330006
135,Li6Mn16O32,0.364,7.536722762,7.500230102,7.535515589,89.9812965,89.34870018,89.95838099
136,Li11Mn13O32,0.3767,7.580892888,7.580827308,7.580857669,91.55180404,91.55032994,88.45006136
137,Al2Li2O6Si,6.5896,4.846166909,4.7806869,5.107477088,91.71322121,89.93360477,120.5545986
138,Al2LiO6Si,5.9259,4.932826874,5.008985716,5.235453835,90.00527973,89.99075822,119.7200759
139,Al2O6Si,0.3883,4.661364238,4.661416626,4.65208023,80.78745773,99.24586773,124.6299906
140,B36Fe4Li17O72Pb3,0.6477,13.58525679,13.59491884,6.093067968,89.96247636,89.91154069,119.9908287
141,B40Cs3Li19S72,2.43,9.254197886,9.256950495,25.94535238,89.8898454,90.0621678,90.0166038
