,indirect_bandgap (eV),crystal_name,_cell_length_c,_cell_length_b,_cell_length_a,_cell_angle_gamma,_cell_angle_beta,_cell_angle_alpha
4203,3.67199999999999,Ge2Li11O16V2,5.19076894588,6.17174466289999,11.0528528623,91.9077782959,88.9422768168,88.6933662424
2271,0.678900000000001,GaLi8Si7,6.18646701004,6.18625579311,6.18627871784,90.0006337311,90.0005078307,89.9994276437999
6010,1.4473,Al20B9FFe3Mg4Na3O92Si18,7.05845198291,15.6906993585999,15.7207389638,120.063269415,90.2242147769,89.4671388018
5485,0.500999999999999,Ca17Ce3O48Si12Sr4,5.2335095657,8.89915141602,19.6267738477,89.798745949,89.9943897004,89.9734337294
4523,0.3869,Li32Mn4N14,16.4227015221,5.41400242595,5.41400336988,120.005752774,90.0006326865,90.0006307661
725,0.4739,Ga4Li8Mg4,6.25899613957,6.25897988696,6.23096041536999,90.0010294758,90.003405413,90.0000073815
923,1.5407,Co4Li2O8,8.98279605223,4.60169968697,2.67929245686,90.0018752971999,91.1136065099,89.9985246807
144,0.6254,B40Cs4Li20Se72,27.5394125738999,9.91403189119,9.91497967345,89.9999995422999,90.0000656676,90.0000648896
6216,0.3661,Fe4Li3O32V17,7.81648808366999,7.77524590381,7.82648648453,90.1150551283,90.4821227185,89.9711469856
120,0.4116,Li4Nb5O18Zn3,13.1118956393,4.90576957878,4.90583380853,120.012458952999,90.0002162466,89.9996323987
4571,0.366499999999998,Li8Nd20Sn28,17.1331300064,13.5524518975,6.16631245209,90.0000981171,90.0002123691,89.9999640376
664,0.3648,Li5Mn16O27,7.40732896059999,7.39840581793,7.44803710147,89.6134976772999,89.867539305,89.4807360248
708,0.422,Cu2Li4Nb8O24,7.16946713203,7.15528086388,7.22765724003,90.000000012,90.0000474907,90.0001369361
3341,6.1534,Al5Be4LiO36Si12,8.70669738972,8.56415196291,8.90051493508,119.751548815,89.9962311648,90.00971069
1423,0.774,In6Li4Mg6,6.86794852585999,6.86794777971,6.86795073365,89.9999634059,89.9999797817,89.999993845
2027,0.672899999999998,Al8F8K4Li6O40Si14,20.3802773491,9.07306250858,5.20220993119,90.0127432387,95.5686494971,90.1686137195
2516,0.3643,Mn15O32Zn9,8.03569250475,8.01812428988,8.05650099061,90.8081904712,89.0707683004,90.7207568518
946,0.3636,Li8Mn5Ni4O16,8.16422728275,5.36981748801999,5.43674889745,89.5083906137,87.7687589729999,90.9000981296
3024,0.6411,AlF3Fe8LiMnNa5O45Si15,5.24563699945999,17.4837030184999,9.48201561365,90.0266774212,103.993477636,90.0050267145999
1457,0.4131,Cu4Li2O24Ta8,7.22788339051999,7.25516044971,7.23270106895,90.0000000275,89.9998335888999,89.9999777405999
5426,0.391,AlGe6Li20,10.9741099997,5.73623043063,5.75235033695,89.4780698937,84.7257930943,95.0419226391
1765,0.4341,F12Li2Ni4,8.87728404082,4.54043465102,4.54043468261,89.9983630676,90.0000120494,90.0000114827
